,7
LOW,HIGH
0,10
0,12
0,5
0,51
0,22
0,25
0,242
0,255
0,206
0,255
0,255
0,231
0,25
0,255
0,255
0,255
0,141
0,139
0,178
0,255
0,3
0,83
0,255
0,18
0,27
0,61
0,255
0,0
0,255
0,255
0,255
0,211
0,33
0,49
0,255
0,234
0,255
0,255
0,57
0,4
0,168
0,37
0,118
1,172
0,173
0,255
0,19
0,170
0,203
0,112
0,255
0,255
0,255
0,255
0,255
0,235
0,245
0,255
0,39
0,22
0,1
0,21
1,98
0,220
0,176
0,255
0,3
0,255
0,255
0,62
0,150
0,25
0,63
0,5
0,87
0,19
0,78
0,255
0,255
0,214
0,90
0,22
0,16
0,72
0,255
0,255
0,89
0,255
0,188
0,96
0,1
0,22
0,150
0,123
0,90
0,255
0,69
0,1
0,16
0,120
0,16
0,16
0,69
0,255
0,255
0,255
0,255
0,255
0,255
0,245
0,26
1,12
0,255
0,255
0,181
0,25
0,255
0,255
0,255
0,139
0,26
0,255
0,46
0,255
0,155
0,255
0,133
0,255
0,121
0,99
0,58
0,114
0,9
0,255
0,255
0,255
0,14
0,113
0,41
0,105
0,16
0,26
0,255
0,255
0,167
0,255
0,7
0,212
0,94
0,255
0,255
0,184
0,24
1,199
0,4
4,1
3,1
1,49
0,4
4,0
1,4
1,3
1,4
1,3
1,4
4,0
1,4
0,4
1,4
3,1
1,3
4,1
1,3
4,1
0,4
1,4
4,0
4,1
0,4
1,3
4,1
4,0
1,49
1,3
4,1
0,4
1,4
0,4
1,4
0,4
4,1
0,4
1,3
1,4
4,0
1,4
4,0
1,4
4,0
1,4
0,4
4,0
4,1
1,3
1,4
4,0
4,1
0,49
1,4
4,0
1,4
0,4
1,4
0,4
1,3
4,1
1,3
1,4
0,4
4,1
0,4
4,1
0,4
4,1
0,4
1,3
4,1
4,0
1,4
0,4
4,1
3,1
1,49
0,4
4,1
0,4
1,4
0,4
1,3
1,4
4,0
1,4
0,4
1,4
4,0
1,4
3,1
1,3
4,1
1,3
1,4
4,0
4,1
0,4
1,4
3,1
--------------------------
LOW,HIGH
0,98
0,255
0,255
0,255
0,97
0,40
0,180
0,255
0,255
0,255
0,135
0,255
0,27
0,0
0,16
0,5
0,18
0,31
0,106
0,33
0,17
0,255
0,125
0,117
0,68
0,5
0,255
0,255
0,255
0,192
0,255
0,255
0,65
0,255
0,39
0,255
0,255
0,160
0,0
0,255
0,255
0,54
0,255
0,128
0,22
0,255
0,152
0,250
0,204
0,255
0,255
0,47
0,14
0,23
0,134
0,1
0,255
0,79
0,255
0,255
0,255
0,255
0,87
0,255
0,170
0,7
0,13
3,105
0,32
0,255
0,21
0,66
0,0
0,32
0,7
0,18
0,35
0,255
0,149
0,255
0,2
0,246
0,255
0,47
0,175
0,255
0,16
0,255
0,255
0,255
0,106
0,175
0,114
0,255
0,36
0,150
0,79
0,45
0,22
0,0
0,23
0,251
0,255
0,125
0,31
0,255
0,255
0,20
0,87
0,97
0,7
0,1
0,255
0,15
0,255
0,0
0,27
0,255
0,114
0,1
0,186
0,255
0,255
0,127
0,7
0,102
0,38
0,12
0,255
0,255
0,255
0,255
0,255
0,234
0,255
0,255
0,182
0,58
0,25
0,44
0,104
0,24
0,149
1,255
0,27
0,19
0,4
0,79
0,54
0,31
0,52
0,255
0,71
0,69
0,19
0,5
0,107
0,165
0,0
0,6
0,255
0,223
0,255
0,118
0,141
0,255
0,26
0,255
0,145
0,255
0,255
0,255
0,109
0,255
0,12
0,255
0,143
0,255
0,9
0,255
0,9
0,13
0,150
0,255
0,36
0,255
0,255
0,254
0,255
0,156
0,3
0,147
0,145
0,255
0,255
0,205
0,18
0,5
0,0
0,255
0,255
0,255
0,255
0,52
0,255
0,255
0,255
0,216
0,255
0,235
0,255
0,177
0,60
0,46
0,57
0,255
0,27
1,255
0,8
0,78
0,52
0,19
0,255
0,255
0,255
0,82
0,18
0,255
0,211
1,25
0,177
0,144
0,255
0,13
0,179
0,1
0,255
0,88
0,53
0,138
0,25
0,255
0,255
0,255
0,114
0,138
0,25
0,34
0,7
0,130
1,4
3,1
1,3
1,4
1,3
1,4
--------------------------
LOW,HIGH
0,255
0,106
0,255
0,255
0,135
1,63
0,169
0,203
0,7
0,43
0,255
0,24
0,194
0,46
0,96
1,141
0,255
0,104
0,223
0,7
0,7
0,8
0,13
0,255
0,139
0,219
1,87
0,120
0,19
0,255
0,51
0,12
0,255
0,200
0,255
0,255
0,65
0,106
0,255
0,255
0,255
0,255
0,255
0,53
0,255
0,5
0,255
0,31
0,52
0,69
0,255
0,255
0,255
0,255
0,96
0,25
0,255
0,223
0,255
0,161
0,18
0,5
0,26
0,68
0,79
0,7
0,54
0,228
0,26
0,255
1,54
0,34
0,7
0,114
0,72
0,135
0,46
0,25
0,16
0,7
0,138
0,1
0,138
0,114
0,54
0,219
0,255
0,244
0,7
0,255
0,17
0,255
0,255
0,255
0,101
0,177
0,25
0,255
0,255
0,111
0,255
0,43
0,132
0,195
0,98
0,10
0,109
0,7
0,96
0,255
0,81
0,141
0,96
0,52
0,255
0,255
0,255
0,174
0,255
0,18
0,105
0,19
0,4
0,1
0,43
0,7
0,4
0,0
1,3
0,2
0,50
0,121
0,170
0,5
0,11
0,110
0,73
0,227
0,78
0,255
0,255
0,86
0,52
0,255
0,31
1,0
0,255
0,99
0,166
0,0
0,5
0,194
0,255
0,30
0,174
0,28
0,232
1,53
0,225
0,157
0,255
0,255
0,136
0,1
0,147
0,255
0,255
0,255
0,246
0,255
0,255
0,65
0,69
0,100
0,255
0,86
0,255
0,2
0,255
0,52
0,71
0,59
0,25
0,53
1,40
0,19
0,255
0,91
0,255
0,255
0,87
0,255
0,125
0,255
0,5
0,255
0,96
0,5
0,27
0,12
0,255
0,255
0,102
0,25
0,206
0,40
0,140
0,255
0,174
0,255
0,17
0,255
0,255
0,227
0,153
0,126
0,68
1,7
0,255
0,75
0,255
0,255
0,255
0,48
0,255
0,255
0,255
0,181
0,1
0,255
0,140
0,0
0,255
0,141
0,90
0,77
0,247
0,255
0,57
0,183
0,7
0,25
0,72
0,74
0,255
0,255
0,245
0,255
0,255
0,255
0,105
0,255
0,255
0,197
0,63
0,5
--------------------------
LOW,HIGH
0,18
0,255
0,255
0,161
0,25
0,69
0,46
0,255
0,255
0,255
0,228
0,255
0,255
0,255
0,255
0,255
0,255
0,62
0,123
0,255
0,62
0,25
0,117
0,187
0,12
0,0
0,151
0,255
0,47
0,82
0,25
0,255
0,152
0,255
0,241
0,255
0,63
0,80
0,50
0,126
0,255
0,26
0,255
0,255
0,255
0,220
0,255
0,170
0,135
0,255
0,255
0,255
0,255
0,255
0,29
0,97
0,99
0,13
0,232
0,23
0,18
0,5
0,123
0,255
0,152
0,28
0,255
0,134
0,7
0,255
0,56
0,4
0,255
0,255
0,98
0,255
0,93
0,7
0,129
0,71
0,41
0,25
1,158
0,255
